 --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,-Xptxas --maxrregcount=, --prec-sqrt=, --no-align-double,response,complete,id
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.240434074,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.233735823,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.231476171,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.231106552,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.243767217,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.220102174,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.235288913,true,6644955225438185279
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.149392673,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.136562087,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.136194201,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.121597299,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.132329601,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.13487405,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.129199359,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.133121513,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.128480836,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.133885314,true,11210325699133573381
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.072211102,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.074321613,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.05905418,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.06281566,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.06698536,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.064542876,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.061231641,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.059162177,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.066150306,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.063872577,true,3118649804581646594
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.331404239,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.336882688,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.33213755,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.333446779,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.327336672,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.326927466,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.333981595,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.330128187,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.327197796,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.33220936,true,921544197035885622
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.918042997,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.920560648,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.913913158,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.918314499,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.907879622,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.91164298,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.912710625,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.913351966,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.908093436,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.913075226,true,16372721131719289303
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.061769478,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.055674908,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.055695332,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.061658663,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.064654454,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.065221947,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.061359152,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.060426255,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.059511449,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.064694037,true,11179885352194058263
